genotype,consensus,region,threshold,score
3a,0.2,ns3,N/A,N/A
3a,0.2,ns4a,N/A,N/A
3a,0.2,ns4b,N/A,N/A
3a,0.2,ns5a,N/A,N/A
3a,0.2,ns5b,N/A,N/A
3a,0.2,p7,N/A,N/A
3a,0.2,whole,N/A,N/A
4d,0.01,core,0.00354,1.00007
4d,0.01,e1,N/A,N/A
4d,0.01,e2,0.01813,1.54763
4d,0.01,ns2,N/A,N/A
4d,0.01,ns3,0.01022,1.74085
4d,0.01,ns4a,N/A,N/A
4d,0.01,ns4b,N/A,N/A
4d,0.01,ns5a,N/A,N/A
4d,0.01,ns5b,0.00633,1.35461
4d,0.01,p7,N/A,N/A
4d,0.01,whole,N/A,N/A
4d,0.02,core,0.00354,1
4d,0.02,e1,0.01366,1.32703
4d,0.02,e2,0.00659,1.03803
4d,0.02,ns2,N/A,N/A
4d,0.02,ns3,0.0032,1.17741
4d,0.02,ns4a,0.0065,1.28051
4d,0.02,ns4b,0.00517,1.70907
4d,0.02,ns5a,0.01465,1.35866
4d,0.02,ns5b,0.00732,1.03124
4d,0.02,p7,N/A,N/A
4d,0.02,whole,0.04836,1.30316
4d,0.05,core,N/A,N/A
4d,0.05,e1,N/A,N/A
4d,0.05,e2,0.0173,1.01948
4d,0.05,ns2,0.01595,1.12658
4d,0.05,ns3,N/A,N/A
4d,0.05,ns4a,0.0125,1.00001
4d,0.05,ns4b,0.00644,1.00091
4d,0.05,ns5a,N/A,N/A
4d,0.05,ns5b,0.00593,1.6648
4d,0.05,p7,0.00547,1.00001
4d,0.05,whole,0.04152,1
4d,0.1,core,0.00354,1
4d,0.1,e1,0.01369,1.11047
4d,0.1,e2,0.0066,1.03803
4d,0.1,ns2,0.01108,1.01151
4d,0.1,ns3,N/A,N/A
4d,0.1,ns4a,0.01945,1
4d,0.1,ns4b,N/A,N/A
4d,0.1,ns5a,N/A,N/A
4d,0.1,ns5b,0.00718,1.03803
4d,0.1,p7,0.00547,1.00001
4d,0.1,whole,0.03305,1.64878
4d,0.25,core,0.00354,1
4d,0.25,e1,0.0241,1.00007
4d,0.25,e2,0.01916,1.02973
4d,0.25,ns2,0.02936,1
4d,0.25,ns3,N/A,N/A
4d,0.25,ns4a,0.01936,1
4d,0.25,ns4b,0.00644,1.70429
4d,0.25,ns5a,0.00845,1.54931
4d,0.25,ns5b,0.0089,1.12658
4d,0.25,p7,N/A,N/A
4d,0.25,whole,0.03315,1.10571
4d,0.2,core,0.00354,1
4d,0.2,e1,0.01581,1.53653
4d,0.2,e2,0.00847,1.12658
4d,0.2,ns2,0.02936,1
4d,0.2,ns3,N/A,N/A
4d,0.2,ns4a,0.01936,1
4d,0.2,ns4b,N/A,N/A
4d,0.2,ns5a,N/A,N/A
4d,0.2,ns5b,0.00779,1.68847
4d,0.2,p7,N/A,N/A
4d,0.2,whole,0.03315,1.43338
